objectid,filename,title,creator,date,display_date,description,subject,location,Collection,format,physicaldescription,rights,latitude,longitude
image15,image15.jpg,St Anthony Triptych,"Bosch, Hieronymous (1450-1516)",1505-1510,1505-1510,"The work tells symbolically the story of the mental and spiritual torments endured by St. Anthony Abbot throughout his life.The sources for the subjects were Athanasius of Alexandria's Life of St. Anthony,[1] which had been popularized in Flanders by Pieter van Os, and Jacopo da Varazze's Golden Legend.",,"Lisbon, Portugal",Museu Nacional de Arte Antiga,image/jpeg,oil on oak wood; Central panel: 131.5 × 119 cm (51.7 × 46.8 in); Side panels: 131.5 × 53 cm (51.7 × 20.8 in),"""St. Anthony Triptych"" by Paul Hermans (19 October 2009), (http://www.museudearteantiga.pt/collections/european-painting/temptations-of-st-anthony), PD",38.70508398,-9.160783021
image16,image16.jpg,Altar of the Holy Blood,"Riemenschneider, Tilman (1460-1531)",1499-1505,1499-1505,,,"Rothenburg ob der Tauber, Germany",n/a,image/jpeg,limewood and amber glaze,"""Altar of the Holy Blood"" by Holger Uwe Schmitt (https://commons.wikimedia.org/wiki/File:Tilmann_Riemenschneider_der_Heilig-Blut-Altar_in_Rothenburg_ob_der_Tauber_01.jpg),  Creative Commons Attribution-Share Alike 4.0 International",49.38089844,10.18001824
image17,image17.jpg,Isenheim Altarpiece (front),"Grünewald, Matthias (1470-1528)",1515,1515,"The Isenheim Altarpiece is an altarpiece sculpted and painted by, respectively, the Germans Nikolaus of Haguenau and Matthias Grünewald in 1512–1516.[1] It is on display at the Unterlinden Museum at Colmar, Alsace, in France. It is Grünewald's largest work and is regarded as his masterpiece. It was painted for the Monastery of St. Anthony in Issenheim near Colmar, which specialized in hospital work. The Antonine monks of the monastery were noted for their care of plague sufferers as well as for their treatment of skin diseases, such as ergotism.The image of the crucified Christ is pitted with plague-type sores, showing patients that Jesus understood and shared their afflictions.The veracity of the work's depictions of medical conditions was unusual in the history of European art.",,"Colmar, France",Unterlinden Museum,image/jpeg,oil paint on panel; height: 269 cm (105.9 in) ; width: 307 cm (10 ft) ,"""Isenheim Altarpiece (first view)"" by Archaeodontosaurus (https://commons.wikimedia.org/wiki/File:Grunewald_Isenheim1.jpg)",48.08280816,7.365947319
image18,image18.jpg,Isenheim Altarpiece (back),"Grünewald, Matthias (1470-1528)",1515,1515,"The Isenheim Altarpiece is an altarpiece sculpted and painted by, respectively, the Germans Nikolaus of Haguenau and Matthias Grünewald in 1512–1516.[1] It is on display at the Unterlinden Museum at Colmar, Alsace, in France. It is Grünewald's largest work and is regarded as his masterpiece. It was painted for the Monastery of St. Anthony in Issenheim near Colmar, which specialized in hospital work. The Antonine monks of the monastery were noted for their care of plague sufferers as well as for their treatment of skin diseases, such as ergotism.The image of the crucified Christ is pitted with plague-type sores, showing patients that Jesus understood and shared their afflictions.The veracity of the work's depictions of medical conditions was unusual in the history of European art.",,"Colmar, France",Unterlinden Museum,image/jpeg,oil paint on panel; height: 269 cm (105.9 in) ; width: 307 cm (10 ft) ,"""Isenheim Altarpiece (second view)"" by Archaeodontosaurus (https://commons.wikimedia.org/wiki/File:Grunewald_Isenheim2.jpg)",48.08280816,7.365947319
image19,image19.jpg,Virgin and Child in glory w/ Sts Catherine and Barbara,Anonymous ,1450,c. 1450,"The Virgin and Child in glory, with St Catherine and St Barbara; the Virgin, holding the Child with her left arm, stands on the crescent within a mandorla, which is held at the top by two angels, to the left sits St Catherine of Alexandria, to the right St Barbara",,,n/a,image/jpeg,Woodcut with hand-colouring on paper; Height: 79 millimetres Width:Width: 78 millimetres,"""The Virgin and Child in glory, with St Catherine and St Barbara"" by the British Museum (https://www.britishmuseum.org/collection/object/P_1856-0209-83), Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)",,
image20,image20.png,St. Dorothy,Anonymous Bavarian artist,1410-25,1410-25,"Dorothy appears often in woodcuts, bur rarely as the victim of torture, although she was impaled on a stake, her breasts were torched, and finally she was decapitated by order of Governor Fabricius in 304. It was herencoun- terwith the Christ Child that endeared her most widely. On the way to her final trial and decapitation, she was accosted by one of the trial clerks, Theophilus, who mocked her unshakable love of Jesus and requested that she send him roses and apples when she reached paradise. A moment later Dotothy was met by a little boy with golden curls and a white dress who supplied her with a basket of fruit and flowers. (Origins of European Printmaking: Fifteenth-century Woodcuts and Their Public, 128)",,"Munich, Germany",n/a,image/jpeg,"woodcut, hand-colored; 270mm x 197mm","Anonymous, Saint Dorothy and the Christ Child. 1410-1420. In Peter W. Parshall, et al., Origins of European Printmaking: Fifteenth-century Woodcuts and Their Public, 129. Washington D.C.: National Gallery of Art, 2005.",48.13541752,11.57994325
image21,image21.jpg,Man of Sorrows,"Schongauer, Martin (1435/50-1491)",1470,c. 1470,"Prints of the Man of Sorrow were widely widespread in Northern Europe after the mid-15th century. The image portrays Christ naked above the waist, wearing the crown of thorns, and displaying the wounds of the Passion marking his hands and side. The Virgin Mary and Saint John the Evangelist flank Christ and mourn his death. Images like these functioned as devotional tools meant to help the faithful to meditate on the Lord's suffering. By showing Christ's hand over his chest and the Virgin's hand on his side, he focused the viewer's attention on Christ's wounds. Similarly, Saint John's compassionate gaze provides a model of empathy for the beholder.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,engraving; 21.2 × 16.2 cm,"""Man of Sorrows"" by Metropolitan Museum, Harris Brisbane Dick Fund, 1951, (https://www.metmuseum.org/art/collection/search/367001), Public Domain.",40.77965593,-73.96264319
image22,image22.jpg,Christ the Savior,"Master E.S. (German, active ca. 1450–67)",1460,C. 1460,"This drawing of Christ by Master E.S. is a good example of his skill with a Burin – an engraver’s chisel. Master E.S. was a goldsmith before he was an engraver and many believe it was his jewelry-making expertise that led to some of the innovations he made in printmaking. Being able to chisel a little deeper into the wood, Master E.S. was able to make more prints from each engraving. This engraving of Christ as Savior also show his skill in using short lines and cross-hatching to create dimension, shading and texture. Wearing jewelry robes and looking like he is coming out of a window or alcove of some sort, Christ appears to be looking right at the observer. Description source: http://www.thefamousartists.com/master-e-s/christ-as-saviour",,"New York, USA",Metropolitan Museum of Art,image/jpeg,engraving; 15.7cm X 11.6cm,"""Christ the Savior"" by the Metropolitan Museum, Gift of Felix M. Warburg and his family, 1941 (https://www.metmuseum.org/art/collection/search/366489), Public Domain",40.77965593,-73.96264319
image23,image23.jpg,John Devouring the Book,"Dürer, Albrecht (1471-1528)",1497,1497-1498,"The Book of the Revelation of St John, commonly known as the Apocalypse, was a popular subject for illustration throughout the Middle Ages, series of images appearing in illuminated manuscripts, frescoes and, famously, a vast tapestry at Angers. The text, with its predictions of violent turmoil, became increasingly referred to in the approach to the year 1500, when it was widely believed that the world would end. In Dürer’s native city, the Nuremberg Chronicle of 1493 was published with blank leaves for readers to record the final events of an age that was believed to be coming to a dramatic close. Dürer’s vivid, and at times terrifying, woodcuts captured the fears of the age and the imagination of the market. The large number of surviving examples suggests a publication that was extremely popular.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,woodcut; 39.6 x 28.7 cm,"""John Devouring the Book"" by the Royal Collection Trust, (https://www.rct.uk/collection/800141/the-apocalypse-st-john-devouring-the-book), Public Domain",40.77965593,-73.96264319
image24,image24.jpg,Four horseman of the Apocalypse,"Dürer, Albrecht (1471-1528)",1497,1497-1498,"The third and most famous woodcut from Dürer's series of illustrations for The Apocalypse, the Four Horsemen presents a dramatically distilled version of the passage from the Book of Revelation (6:1–8): ""And I saw, and behold, a white horse, and its rider had a bow; and a crown was given to him, and he went out conquering and to conquer. When he opened the second seal, I heard the second living creature say, 'Come!' And out came another horse, bright red; its rider was permitted to take peace from the earth, so that men should slay one another; and he was given a great sword. When he opened the third seal, I heard the third living creature say, 'Come!' And I saw, and behold, a black horse, and its rider had a balance in his hand; ... When he opened the fourth seal, I heard the voice of the fourth living creature say, 'Come!' And I saw, and behold, a pale horse, and its rider's name was Death, and Hades followed him; and they were given great power over a fourth of the earth; to kill with sword and with famine and with pestilence and by wild beasts of the earth."" Transforming what was a relatively staid and unthreatening image in earlier illustrated Bibles, Dürer injects motion and danger into this climactic moment through his subtle manipulation of the woodcut. The parallel lines across the image establish a basic middle tone against which the artist silhouettes and overlaps the powerful forms of the four horses and riders—from left to right, Death, Famine, War, and Plague (or Pestilence). Their volume and strong diagonal motion enhance the impact of the image, offering an eloquent demonstration of the masterful visual effects Dürer was able to create in this medium.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,woodcut; 15 1/4 x 11 7/16 in. (38.8 x 29.1cm),"""Four horseman of the Apocalypse"" by the Metropolitan Museum, Gift of Mrs. Felix M.Warburg, 1940 (https://www.metmuseum.org/art/collection/search/336215), Public Domain",40.77965593,-73.96264319
image25,image25.jpg,Self-Portrait in Fur Coat (as Christ),"Dürer, Albrecht (1471-1528)",1500,1500,"The last of Dürer's three magnificent self-portraits was painted early in 1500, before his 29th birthday on 21 May. The picture is proudly inscribed: `Thus I, Albrecht Dürer from Nuremburg, painted myself with indelible colours at the age of 28 years.' It is a sombre image, painted primarily in browns, set against a plain dark background.

The face is striking for its resemblance to the head of Christ. In late medieval art, Jesus was traditionally presented in this manner, looking straight ahead in a symmetrical pose. Christ's brown hair in these images is parted towards the middle and falls over the shoulders. For the first and last time in Western art history, an artist was to portray himself in a Christ-like scheme. Given his idealized appearance as the underdrawing shows, his nose was originally irregular in shape - Dürer is approaching us in ""imitatio Christi"", in imitation of Christ. He has a short beard and moustache. Dürer has even painted himself with brown hair, although the other self-portraits show that it was actually reddish-blond. Dürer deliberately set out to create a Christ- like image, with his hand raised to his chest almost in a pose of blessing. But this was no gesture of arrogance or blasphemy. It was a statement of faith: Christ was the son of God and God had created Man. For Dürer, the painting was an acknowledgment that artistic skills were a God-given talent.

However, Dürer has subtly departed from the traditional image of Christ in his self-portrait. Despite initial appearances, the picture is not quite symmetrical. The head lies just off the centre of the panel to the right and the parting of the hair is not exactly in the middle, with the strands of hair falling a little differently on the two sides. The eyes stare slightly towards the left of the panel. Dürer also wears contemporary clothing, a fashionable fur- lined mantle. The result is a highly personal image, one whose `indelible colours' still influence the way we imagine Dürer looked in his later years.

The deceptive illusionism in which the picture is painted is also, however, a reference to the classical artistic legend about Apelles, with whom he had been compared by contemporary humanists.",,"Munich, Germany",Alte Pinakothek,image/jpeg,"Oil on lime panel, 67,1 x 48,7 cm","""Self-Portrait in Fur Coat (as Christ)"" by the Web Gallery of Art, Emil Krén and Daniel Marx, (https://www.wga.hu/html_m/d/durer/1/03/1self28.html), Public Domain.",48.13541752,11.57994325
image26,image26.jpg,Portrait of Erasmus,"Dürer, Albrecht (1471-1528)",1526,1526,"A Roman Catholic reformer and one the most important Netherlandish humanists, Erasmus of Rotterdam held a deep admiration for Albrecht Dürer, whom he praised in a eulogy as the greatest of graphic artists: ""And is it not more wonderful to accomplish without the blandishment of colors what Apelles accomplished with their aid?"" In likening Dürer to Apelles—indeed, in asserting the German's superiority over the Greek artist—Erasmus echoed a tradition dating back to antiquity of judging artists and the visual character of their work by the standards set by their predecessors. Dürer would certainly have appreciated the praise for his graphic talents. The portrait amply demonstrates the virtuous effects Dürer was able to achieve without the benefit of color or a liquid medium. Convincingly aligned at an angle to the picture plane, Erasmus stands writing in his study, with the books that indicate his substantial intellect and scholarship arranged around him. The vase of lilies probably refers to the purity of his mind, while the Latin and Greek inscription, prominently framed like a picture on the wall, underscores the scholar's humanistic interests: ""This image of Erasmus of Rotterdam was drawn from life by Albrecht Dürer."" Below are the date, 1526, in Roman numerals, and the artist's monogram.
Dürer met Erasmus at least once in Brussels and twice in Rotterdam during a trip to the Netherlands in 1520 and 1521. Although he sketched Erasmus several times during his trip, he did not execute the engraving until six years later, and only then with the encouragement of his close friend Willibald Pirkheimer; apparently, for certain reasons Dürer had been disappointed by the well-known Protestant reformer. Dürer based the portrait on a medal of 1519 in Pirkheimer's collection by Quentin Massys and reproduced the Greek inscription found on the medal, which states: ""A better portrait his writings show."" Presumably Erasmus agreed, because he made known his disappointment with this portrait to at least two of his colleagues. And yet, Dürer's Erasmus remains one of history's richest and most powerful depictions of scholarly preoccupation and the humanist ideal.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,engraving; 9 3/4 x 7 1/2 in. (24.8 x 19.1 cm),"""Portrait of Erasmus"" by the Metropolitan Museum, Fletcher Fund, 1919, (https://www.metmuseum.org/art/collection/search/336231), Public Domain",40.77965593,-73.96264319
image27,image27.jpg,The Four Holy Men,"Dürer, Albrecht (1471-1528)",1526,1526,"The Four Apostles is a panel painting by the German Renaissance master Albrecht Dürer. It was finished in 1526, and is the last of his large works. It depicts the four apostles larger-than-life-size. The Bavarian Elector Maximilian I obtained The Four Apostles in the year 1627 due to pressure on the Nuremberg city fathers. Since then, the painting has been in Munich, in the Alte Pinakothek, and, despite all the efforts of Nuremberg since 1806, it has not been returned.
The apostles are recognizable by their symbols: St. John the Evangelist: open book; St. Peter: keys; St. Mark: scroll; St. Paul: sword and closed book",,"Munich, Germany",Alte Pinakothek,image/jpeg,oil and tempera on linden wood; 204 × 74 cm (80.3 × 29.1 in) (x 2),"""The Four Holy Men"", : by Immanuel Giel, (https://commons.wikimedia.org/wiki/File:Vier_Apostel_(Albrecht_ Duerer).jpg), Public Domain.",48.13541752,11.57994325
image28,image28.jpg,Allegory of the Law and the Gospel,"Cranach, Lucas (c. 1472-1553)",1530,c. 1530,"The Old and the New Testament, or allegory of the law and the gospel; a tree at centre, dividing the sheet into two halves; to the left stand prophets with the law, while Death and a devil drive a naked man into hell; in the left background the Fall is depicted and in the sky the Last Judgement; in the right background the Brazen Serpent and the Israelites are seen, in the foreground stands St John with a man, pointing to Christ on the cross at upper right; at lower right, Christ rises from the sepulchre.",,"London, UK",British Museum,image/jpeg,woodcut and letterpress on paper; Height: 270mm (sheet) by 325mm,"""Allegory of the Law and the Gospel"", by the British Museum, (https://www.britishmuseum.org/collection/object/P_1895-0122-285), Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International.",51.51952563,-0.1222971035
image29,image29.jpg,St. George and the Dragon,"Altdorfer, Albrecht (1480-1538)",1510,1510,"The picture shows in the lower quarter the black armored saint on a white horse and next to it a rather inconspicuous red dragon.The horse is frightened of the monster, which George is staring at with his lance lowered. Most of the remaining space is filled with foliage; in the lower right half of the picture, the forest thins out and reveals a landscape with fields and mountains.The small-format picture is painted in oil on parchment; such a combination is quite unusual. Altdorfer uses the Alla Prima technique, known since the 16th century, which dispenses with layered structure, like underpainting and glaze, since only the yellow-green leafy scrolls are painted in the dark and the highlights are heightened.",,"Berlin, Germany",Alte Pinakothek,image/jpeg,oil on parchment paper attached to panel; height: 28.2 cm (11.1 in); width: 22.5 cm (8.8 in) ,"""St. George and the Dragon"", by the Yorck Project, 2002, (https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_045.jpg), Public Domain. ",52.52635052,13.37788187
image30,image30.jpg,Satyr family,"Altdorfer, Albrecht (1480-1538)",1507,1507,"A family of satyrs has settled on a tree-covered slope at the foot of a cliff.The man with horns and goat's feet is shown holding a club, while a blonde woman nestles against him and supports the child standing on her thigh.The couple seem to be oblivious of a scene taking place in a nearby meadow, where a woman in a red dress is attempting to flee from a naked man who is carrying a stick in one hand and holding her fast with the other.",,"Berlin, Germany","
Gemäldegalerie der Staatlichen Museen",image/jpeg,"panel; height: 23 cm (9 in), width: 20 cm (7.8 in)","""Satyr family"" by Sailko, (https://commons.wikimedia.org/wiki/File:Albrecht_altdorfer,_paesaggio_ con_famiglia_di_satiri,_1507,_02.JPG), Creative Commons Attribution 3.0 Unported.",52.52635052,13.37788187
